	faith_pd
108136	9.548966626007989
108137	14.98674591414757
108148	7.275202824688725
108149	11.76939870955237
108150	26.67813733528948
108151	35.94770398256968
108154	7.779631052105825
108155	12.92912481028662
108156	33.84063067284264
108157	40.46618312515749
108160	6.223709789984858
108161	14.88573117366497
108162	25.61694711072989
108163	28.88904967600743
108166	8.303038845962242
108167	18.12705006511964
108168	32.13938986232494
108169	45.3135236308046
108173	13.72412084235713
108174	35.64520639429534
108175	34.49893093767758
108180	34.39353545799207
108181	43.50161687770583
108184	6.849053703344047
108185	11.32237280776061
108186	32.11113774539388
108187	41.3835491007299
108190	7.472398550216034
108191	17.0629599812274
108192	27.25776954048251
108193	27.60246334853722
108196	12.10310812065318
108197	11.85188358908081
108198	30.79739663725741
108199	37.23211160667399
108203	18.09603244775209
108204	29.73785310458181
108205	33.55719597984324
108209	9.633852467283011
108210	33.65393602844653
108211	29.22182269832734
108215	12.45086837153092
108216	31.36750126547502
108217	34.92571593489841
108220	10.51972330899252
108221	9.546987831990286
108222	32.52007236375083
108223	39.61552320931249
108233	15.95368369185618
108234	23.99922947528187
108235	36.04552335181523
108238	11.02509816836973
108239	12.46078727061387
108240	30.1398663827581
108241	36.44165338799309
108244	9.786645878248487
108245	11.8841894985328
108246	35.2354741851876
108247	27.20341190002835
108250	9.523793238927285
108251	14.55650064767661
108252	27.3798438010283
108253	31.08858536261979
108256	15.58897188977144
108257	12.90113680189534
108258	25.57274849158869
108259	32.49478813180564
108263	17.7817771766517
108264	19.09842145355159
108265	28.33800673370632
108274	11.29206625766235
108275	17.44582247968438
108276	23.99139119011374
108277	38.9039134578964
108280	10.90762993712587
108281	17.38023081637135
108282	33.2254439559096
108283	36.03724519104443
108286	9.74079758055225
108287	12.73035290858382
108288	30.50233840631707
108289	37.52132912692749
108292	9.412730679237988
108293	12.80542441332028
108294	33.18169180486103
108295	40.43089621151898
108298	6.920620575665786
108299	8.304161809196522
108300	37.09147125657154
108301	43.27857771465431
108304	9.819389757575404
108305	15.13739167412526
108306	31.9147165734625
108307	41.15229702788786
108310	10.45383579186437
108312	37.9736224716899
108313	42.49807959651749
108592	21.11281523613976
108594	37.67833815994259
108597	8.484723950791842
108598	15.01427369484858
108600	38.77928863309697
108604	16.84176574703798
108605	35.45754830405522
108606	46.5251241350719
