	pielou_evenness
108136	0.4419679668366421
108137	0.6503482067690187
108148	0.511054989358359
108149	0.42412531501704415
108150	0.6855056505061086
108151	0.8043360869449756
108154	0.5622872880844367
108155	0.4563301795693122
108156	0.7613793678252967
108157	0.8073033925253527
108160	0.3421667790215206
108161	0.6714159991182268
108162	0.7590817139775707
108163	0.7442736514394085
108166	0.40496649849663063
108167	0.7134227203501275
108168	0.8152916287465493
108169	0.7960482653772665
108173	0.6230492623801531
108174	0.8143403578419097
108175	0.7612239086561585
108180	0.7927419504969582
108181	0.8121545558377283
108184	0.605965757289547
108185	0.6178319084640381
108186	0.7247863763071983
108187	0.749598920049541
108190	0.5116777843898721
108191	0.6812243571074869
108192	0.7533383016238722
108193	0.7445454770341832
108196	0.3188862693674171
108197	0.6237330802206104
108198	0.7844699183868302
108199	0.7896179181981523
108203	0.6714981044969374
108204	0.7268472762332616
108205	0.8167226328646991
108209	0.5826894808409556
108210	0.7633274162158988
108211	0.824058771809485
108215	0.5203184055542514
108216	0.7469095313652621
108217	0.7954446131116043
108220	0.43520260807707156
108221	0.6186492473090379
108222	0.7903212910123696
108223	0.7784660793372381
108233	0.6752993765953718
108234	0.6829626192596399
108235	0.7544305621369187
108238	0.64443578355864
108239	0.39013128749989
108240	0.7828107261429437
108241	0.7927733108311784
108244	0.489342903741139
108245	0.5321086504981658
108246	0.7832642528635966
108247	0.7608247456320785
108250	0.3982419304589543
108251	0.6432102565887767
108252	0.7502171693788374
108253	0.6771466425766337
108256	0.34256486199749214
108257	0.46618851285469975
108258	0.7266451016358386
108259	0.7718745990673721
108263	0.6423571466329422
108264	0.5969828321130003
108265	0.7218036815917795
108274	0.41097555142215914
108275	0.5187409403826477
108276	0.6595178248141642
108277	0.7774846337832899
108280	0.528205466944609
108281	0.7048245715415244
108282	0.7445082938744854
108283	0.7912926006168949
108286	0.5754245294750663
108287	0.22333334042708364
108288	0.7538685109899214
108289	0.8351228651012159
108292	0.6049713316152755
108293	0.6185527878363841
108294	0.782040082488065
108295	0.7751542569830023
108298	0.38726222800164817
108299	0.7190479387223903
108300	0.7872630945236139
108301	0.7908483149423081
108304	0.48117317953860217
108305	0.4901562963619932
108306	0.7657496125435341
108307	0.8131605984194245
108310	0.5166268606949354
108312	0.8116107229046856
108313	0.849400830931526
108592	0.6662273294123652
108594	0.7841254603343746
108597	0.6811176389059107
108598	0.740867229531629
108600	0.8044641303203673
108604	0.6440842511326529
108605	0.7600417113078678
108606	0.8290540565439207
